day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
08,18,37,14.457,19,6.13,7.82,8.82,3.14,075,5470
08,18,38,39.799,20,-6.55,-7.30,-7.56,2.89,069,4653
08,18,40,05.594,26,4.99,6.00,6.40,2.71,072,6262
08,18,41,25.060,40,4.00,4.55,4.86,1.58,099,2953
08,18,42,04.856,20,1.02,1.46,1.56,1.35,076,1784
08,18,42,31.594,19,6.71,6.85,6.79,2.53,074,5692
08,18,43,15.395,34,4.91,4.75,4.45,1.37,099,2401
08,18,43,25.259,38,-2.41,-1.99,-1.67,2.91,099,3483
08,18,43,28.671,12,2.25,1.47,0.75,2.94,099,2567
08,18,43,52.325,22,3.90,3.93,3.65,3.23,099,4588
08,18,43,55.073,19,1.66,1.55,1.54,1.38,097,2827
08,18,44,04.727,37,-3.16,-3.27,-3.12,2.91,099,4273
08,18,44,20.793,40,1.23,1.92,2.61,6.44,099,7370
08,18,44,32.524,11,2.36,1.59,0.93,3.10,081,2257
08,18,44,46.461,15,-1.12,-1.29,-1.24,1.13,077,2220
08,18,44,47.393,8,-2.25,-1.50,-1.12,1.84,081,3639
08,18,44,47.663,34,-2.42,-2.64,-2.66,1.94,099,4320
08,18,44,53.301,14,-0.54,-1.10,-1.50,2.22,085,2280
08,18,44,53.695,13,-1.10,-1.14,-1.03,0.91,078,2443
08,18,44,53.846,45,-1.62,-1.62,-1.66,1.86,082,3520
08,18,44,56.091,10,-3.00,-1.52,-0.30,2.06,086,3600
08,18,45,01.660,28,-5.42,-5.63,-5.46,1.87,068,6660
08,18,45,16.728,7,1.50,7.17,13.00,20.70,099,15320
08,18,45,35.596,21,6.20,6.46,6.51,4.09,072,4320
08,18,46,01.058,10,1.20,1.36,1.10,1.76,082,1394
08,18,46,54.525,19,6.37,6.25,6.12,4.38,070,4242
08,18,49,55.737,21,5.98,6.17,6.51,3.05,069,4425
08,18,50,30.328,26,-5.19,-5.64,-5.62,3.43,067,4223
08,18,51,03.127,20,5.52,6.65,7.26,3.31,071,4973
08,18,51,54.397,17,6.07,8.81,10.34,3.52,070,4824
08,18,54,30.794,14,5.25,6.43,6.84,3.34,075,5074
08,18,55,48.662,26,4.08,5.61,6.52,3.45,072,4806
08,18,57,22.262,21,-6.69,-6.51,-6.18,8.54,067,4475
08,18,57,58.267,18,-7.86,-7.67,-7.06,3.97,067,4379
